"","effect_sizes","N_t","N_pers","pre_slope","step","slope","step2","bias_pre_slope","bias_step","bias_slope","bias_step2","Precision_pre_slope","Precision_step","Precision_slope","Precision_step2"
"52",0.01,18,700,1,0.051,0.062,0.044,-0.00166464785690113,0.0110918607090332,0.00245809905294976,0.012471650289123,0.00315365833207356,0.0231126221604571,0.00612103348283363,0.0428227786082835
"53",0.01,18,900,1,0.045,0.074,0.032,-0.00319168261292899,0.012210194643954,0.00449471849287426,-0.00338389434922857,0.00272826101877316,0.0200342339546776,0.00562341252692443,0.0372080641274993
"54",0.01,18,1100,1,0.057,0.085,0.044,0.00166163948817351,-0.0620155718805236,0.00634563998000649,-0.0741898871707431,0.00257150334965993,0.0182218928539999,0.00486769405817453,0.0336643525686093
"55",0.01,18,1300,1,0.039,0.098,0.042,-0.00350314925034508,0.00813158879472704,-0.000253979290220759,0.0474034347588368,0.00234926763670631,0.0166288319564065,0.00465154042134756,0.030655967514942
"56",0.01,18,1500,1,0.051,0.115,0.032,0.00473386209990623,-0.0147650604627915,-0.000466489643879035,-0.0382444666318009,0.00202258052816849,0.0155760476431987,0.0041805931849594,0.0275306182797662
"57",0.01,20,100,1,0.052,0.041,0.043,0.00694132172366192,-0.108217387238029,0.00269812252304302,-0.116587428424814,0.00702706503949297,0.059702603977107,0.0146890125531102,0.116916361598055
"58",0.01,20,300,1,0.043,0.056,0.045,-0.0069340250976031,-0.00624069316062961,0.0115111250928047,-0.0509349720821169,0.00379946604407798,0.0343040095531411,0.00860565639923743,0.0659349870187417
"59",0.01,20,500,1,0.046,0.064,0.042,-0.000709569331926453,-0.00333784131675691,0.00367091122521052,0.0284321050003818,0.00324075613110389,0.0270329605723461,0.00654406456291134,0.0503686925266843
"60",0.01,20,700,1,0.062,0.096,0.052,0.00506165754484748,-0.00998137273884554,-0.00639473095569965,-0.00238672381588791,0.00274031084669012,0.0238327125720527,0.00572096849914986,0.0459555002220972
"61",0.01,20,900,1,0.041,0.112,0.042,-0.000481925817195986,0.0265360557323383,-0.00358473695223843,0.047659500693177,0.00237089511222646,0.0198225140870208,0.0048948443915477,0.038956328750878
"62",0.01,20,1100,1,0.05,0.102,0.041,-0.00485150082622347,0.0148243304446762,0.00677792959407146,0.00521666674394234,0.00209994075774003,0.0180944223126961,0.00432630238264041,0.0350170218872355
"63",0.01,20,1300,1,0.05,0.152,0.04,-8.29926375763179e-05,0.000814665912861925,-0.00318363231491105,0.00901651625138071,0.00192684126265218,0.0158300929986268,0.0041665437742753,0.0311986762163565
"64",0.01,20,1500,1,0.045,0.188,0.046,0.00468345905385865,0.00520155003914755,-0.00988783432176495,0.0374700829108419,0.00183514881140273,0.0153039016590119,0.00389246111116069,0.0292017708067403
"65",0.025,6,100,1,0.044,0.021,0.033,-0.0124658709547987,0.205985650217708,-0.0939260939017982,0.315451576479143,0.0465316095772527,0.104379179838014,0.0794600132229482,0.17493355959592
"66",0.025,6,300,1,0.05,0.02,0.038,0.000709318326498572,0.00985437452004075,0.00991726315487838,-0.0406577019131397,0.0257744727199779,0.061295801838909,0.0450308526076318,0.103505857652241
"67",0.025,6,500,1,0.06,0.027,0.047,-0.000425398297188247,0.0454201205644244,0.0170185537407484,-0.0618636020772606,0.0210531848431568,0.0452551470020623,0.0365002064125046,0.0786089669814811
"68",0.025,6,700,1,0.055,0.026,0.039,-0.00918822210498165,0.0359871342476218,-0.0406239998307611,0.147764079931474,0.0167266369792394,0.0389939685391663,0.0299668247613967,0.0677164499535108
"69",0.025,6,900,1,0.083,0.028,0.059,0.0104008024669665,-0.0341528160504091,-0.00276739247773896,-0.0438514911464826,0.0147286839414675,0.0364692928457223,0.025742554587314,0.060967683328079
"70",0.025,6,1100,1,0.069,0.03,0.039,0.0399796543207044,-0.0800621476374335,-0.0300030853676945,-0.093420767604293,0.0135571747124153,0.0318579002122704,0.0244847330847938,0.053239562260157
"71",0.025,6,1300,1,0.066,0.04,0.045,-0.0173218057581937,0.0335750886803321,0.0189119751261423,0.029686896784355,0.0126306877230354,0.0287958942498648,0.0220002743606472,0.0497382130804377
"72",0.025,6,1500,1,0.073,0.034,0.045,0.0289721487833655,-0.0346067491638196,-0.013866731042245,-0.0783572070746256,0.011364874856134,0.0267346725994133,0.019932167584049,0.0457447840043406
"73",0.025,8,100,1,0.048,0.047,0.046,0.00451918043699135,0.0840768319605856,-0.123681539216196,0.37976202204423,0.0281809287443397,0.0961847587428847,0.063720628445726,0.199416141621014
"74",0.025,8,300,1,0.05,0.047,0.057,0.0159740672060372,-0.0189413236050777,-0.0332380862015914,0.000849178793454893,0.0165079741437705,0.0559370796107751,0.0358736442189394,0.115836916995159
"75",0.025,8,500,1,0.063,0.053,0.068,-0.0284095014680315,0.0330873236484113,0.0689835380266356,-0.0709780919361898,0.0132975144516979,0.043788749884877,0.0284666197284629,0.0900576600747956
"76",0.025,8,700,1,0.052,0.052,0.049,-0.0178914644275764,0.0667311887524279,-0.034263873281059,0.230757133459377,0.0106535805252649,0.0367158529221788,0.0237851492968486,0.0732917099354828
"77",0.025,8,900,1,0.054,0.052,0.035,-0.0175673556672264,-0.015367698737647,0.0184114982522211,0.0225871411879338,0.00965814033682203,0.0314053455921556,0.0205384338668804,0.0632547895138906
"78",0.025,8,1100,1,0.076,0.065,0.052,0.00382381203110397,0.0165219981904848,-0.0200241807626128,0.0540557996602918,0.00909708969163932,0.0303423147786281,0.0187765867255975,0.059756581920045
"79",0.025,8,1300,1,0.074,0.065,0.056,0.00483050905956306,0.00645158539338182,-0.0137855462731931,0.0515821452054541,0.00818554868272641,0.0281511516196986,0.0171168536908651,0.0546394862800677
"80",0.025,8,1500,1,0.07,0.075,0.059,0.0119990962844132,0.0259445160085654,-0.0138218621894315,-0.00403427941775617,0.0075825506281411,0.0253819873411876,0.0163738909663919,0.0517948098516124
"81",0.025,10,100,1,0.046,0.024,0.035,-0.0370707913080239,0.133885165093656,0.0447171705186286,0.137151843748909,0.0211875182641158,0.0799252586013122,0.0385922147043207,0.143023610997766
