"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,1,0.046,0.025,0.0182267005190782,-0.0198893499877945,-0.0182365380662497,0.0439678995714288,0.103651222114544,0.0536341234706067
"2",0.01,6,300,1,0.055,0.047,0.0271209522834036,0.0218705759338407,-0.0569685002786586,0.0275950816793888,0.060817902200362,0.0331770717260592
"3",0.01,6,500,1,0.058,0.035,0.0142696971624864,-0.0283928073171,-0.0282656194616527,0.0204266427006683,0.0479386604081316,0.025236605568658
"4",0.01,6,700,1,0.058,0.052,0.0233044017322036,-0.0208262683733356,-0.0159630098929511,0.0171086031228826,0.0398590531001889,0.0212255371145339
"5",0.01,6,900,1,0.051,0.044,-0.00416674532706062,0.0503344451180991,-0.00871515691219562,0.0147241654595119,0.0345358232987741,0.0186830812520345
"6",0.01,6,1100,1,0.058,0.05,0.0251660082449707,-0.0691144288890312,-0.0114360268751785,0.0141656362020713,0.0325518697900328,0.017141899434727
"7",0.01,6,1300,1,0.069,0.043,-0.00292299116075326,-2.31868128057862e-05,0.00705593389056404,0.0130983350956639,0.0307662445554175,0.0156814684445713
"8",0.01,6,1500,1,0.075,0.04,0.023326552569916,-0.0734599666100468,-0.017260263643937,0.0119214021311453,0.0281580282322813,0.0143808676957219
"9",0.01,8,100,1,0.052,0.042,0.0244204846294747,-0.117198312408339,-0.0181774674912984,0.0293454314851717,0.0909336700641926,0.0364925177386081
"10",0.01,8,300,1,0.057,0.03,-0.0107072054342078,0.0653225892473636,-0.00705712900127911,0.0159257083914848,0.0530454046143149,0.0199514691468906
"11",0.01,8,500,1,0.061,0.045,0.0161615391131982,-0.087587278454319,-0.00951881050456707,0.0130817510302412,0.0411002280772014,0.0164858436342489
"12",0.01,8,700,1,0.046,0.043,-0.00101079146877398,0.000896156457416632,-0.00705664266430799,0.010920621761058,0.0344199031102435,0.0136357372900045
"13",0.01,8,900,1,0.051,0.047,-0.00729925851247067,-0.0172928526804245,0.0116416672969973,0.00972711612475625,0.0302461917532169,0.0119281968892304
"14",0.01,8,1100,1,0.069,0.057,-0.0144153362343278,0.0365355648160643,0.014935434252946,0.00902678459992909,0.0282211570500167,0.0109489629935106
"15",0.01,8,1300,1,0.044,0.062,-0.00658614877947458,0.0399726813655265,-0.00646544148298044,0.00793374905002404,0.0240985077917812,0.0102165305437005
"16",0.01,8,1500,1,0.05,0.058,-0.00232422154265638,0.0192779016021717,-0.00096344515484678,0.00751961574639998,0.0230263687618016,0.00948779827092081
"17",0.01,10,100,1,0.049,0.041,-0.00575103134895644,-0.0499932623521502,0.00830655561982665,0.0202069607522739,0.0780702487442711,0.0263116268284071
"18",0.01,10,300,1,0.051,0.039,0.00543242554645415,0.0506652893505789,-0.0196076791748028,0.0116248753224078,0.0474069450268721,0.0147378760805451
"19",0.01,10,500,1,0.047,0.048,0.00630728864733255,-0.0192260684361123,-0.0062872931252511,0.0095653345173581,0.0356796050808504,0.0117390371622791
"20",0.01,10,700,1,0.041,0.061,0.00263094188359791,0.0471191040300441,-0.0116599377924765,0.00751389283895129,0.0292821036626405,0.00983749468908702
"21",0.01,10,900,1,0.053,0.055,-0.000433314026978035,-0.0230318510540782,0.000926626245137063,0.00686547230328858,0.0269849020375515,0.00864740479480764
"22",0.01,10,1100,1,0.047,0.069,0.0108930053732285,-0.0302329458207438,-0.010129422232585,0.00597670076711415,0.0236284516541155,0.00803069320023803
"23",0.01,10,1300,1,0.064,0.046,-0.0180148462396104,0.00415221065346241,0.030265135882544,0.00535457019194751,0.0224491903524039,0.00682442554368194
"24",0.01,10,1500,1,0.042,0.071,-0.00380344571939072,0.0385587128396302,9.84699809786325e-05,0.0052747674688082,0.020340362357954,0.00667185062726383
"25",0.01,12,100,1,0.043,0.041,-0.00192482177663011,0.0885232639096466,-0.0180363668555425,0.0156527517726061,0.0727697413909384,0.0199050753034683
"26",0.01,12,300,1,0.065,0.043,-0.0055363068510417,-0.065991575311148,0.026131632297973,0.0092716263772588,0.0445186109259653,0.0115954772686321
"27",0.01,12,500,1,0.057,0.052,-0.000640929118422397,0.0135129431947098,0.00872865936640507,0.00688756988398243,0.033996581741389,0.00894176135272566
"28",0.01,12,700,1,0.049,0.071,0.00819389538712655,-0.0591021387745152,-0.00182770638448162,0.00583122675323784,0.0275025071210692,0.00762067466155129
"29",0.01,12,900,1,0.053,0.065,-0.00254956865688016,0.00736976389788505,0.00713248529728156,0.0051414697297993,0.0248237491304698,0.00644260235704659
"30",0.01,12,1100,1,0.052,0.076,-0.00220019610476195,-0.0174165724192777,0.00837564367127984,0.00461328873450124,0.0226477776175368,0.00584927101640873
"31",0.01,12,1300,1,0.043,0.103,0.00896665637355587,-0.0361389974634552,-0.00591906534318676,0.0043009041932228,0.0204183711837492,0.00547391350778837
"32",0.01,12,1500,1,0.053,0.105,0.00195807708389868,0.0254708646610398,-0.0085952073781337,0.00389464262178098,0.0191467934824542,0.00488904279063666
"33",0.01,14,100,1,0.046,0.036,0.0068340653409642,0.0339513205131543,-0.0257042128775822,0.012138667518627,0.0678148528777624,0.0151343935550711
"34",0.01,14,300,1,0.041,0.062,0.0165918392758063,-0.0400580756128755,-0.0182762706191961,0.00700005912763402,0.038111844688527,0.00924627996713835
"35",0.01,14,500,1,0.036,0.075,0.00428154148891941,0.0214544680565574,-0.00814656413531874,0.00532937981566903,0.0295485189099514,0.00692651797514839
"36",0.01,14,700,1,0.058,0.077,0.00179400012826779,0.0461282372573288,-0.0106041701643358,0.00461911495331709,0.0267125165795527,0.00578528445700621
"37",0.01,14,900,1,0.056,0.111,0.00476397185523344,-0.0139091096978186,-0.00736287349950406,0.00414504756212185,0.0229274785514443,0.00528951951985813
"38",0.01,14,1100,1,0.043,0.096,0.00168005871469316,-0.0308628395953763,0.00337713891948745,0.00364792752441803,0.020309427271313,0.00465418708264048
