"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,1,0.04,0.04,6.94186883262528,151.942184011113,61.7521604820842,0.210643533691655,3.83629443430079,1.81393809464004
"2",0.01,6,300,1,0.12,0.24,4.34935953330777,102.761088126669,39.7538381739459,0.107935495595131,1.86966054978015,0.945101677067494
"3",0.01,6,500,1,0.08,0.44,2.74285095194392,52.4570744635814,37.1864711328897,0.0683653979034954,1.33195546465381,0.743233686530107
"4",0.01,6,700,1,0.28,0.56,3.21303652996944,50.5987475620449,31.5501414944824,0.0590045555313077,0.979871300903861,0.691221749581013
"5",0.01,6,900,1,0.28,0.72,3.42506811220407,61.8940225771982,29.1464725795772,0.0588973034713088,1.4943252846167,0.690531573150822
"6",0.01,6,1100,1,0.36,0.84,2.91094266703227,60.0221656493572,25.102743095678,0.0630835666572477,1.10668872395217,0.481111864381254
"7",0.01,6,1300,1,0.44,0.84,2.76623684593677,50.3761332249085,28.0204464815941,0.0552300363130947,0.864255669310089,0.489890175951599
"8",0.01,8,100,1,0.08,0.2,5.42482802380596,137.705865331135,46.2440079473523,0.105712080172863,2.89193723309311,1.05580906016675
"9",0.01,8,300,1,0.16,0.52,2.8202102206143,67.1778946669512,27.7396935577245,0.0624201471673938,1.18708351573883,0.675049508349764
"10",0.01,8,500,1,0.28,0.92,2.00357961491182,59.638846088425,18.5005188127408,0.0306613478904124,1.25570588282751,0.33858898309059
"11",0.01,8,700,1,0.24,0.92,1.73092101872344,45.9669825526688,19.6205979018238,0.04200093328022,1.0601636184835,0.411062151751036
"12",0.01,8,900,1,0.36,1,1.92268310435405,43.5982178053014,17.8142630861115,0.0464293679713285,1.06966288866425,0.372177887688219
"13",0.01,8,1100,1,0.64,1,2.07534824338782,51.3474113022372,15.6895171824977,0.0359927174479604,0.952199397567924,0.324312697572034
"14",0.01,8,1300,1,0.44,1,1.80047923267307,35.419969874622,17.9661869957509,0.0287123207315699,0.712762334505567,0.352490088650993
"15",0.01,10,100,1,0.12,0.4,4.12898208051286,118.458655968696,40.2243164089956,0.0826221624953294,2.22274654510961,0.734002170592153
"16",0.01,10,300,1,0.16,0.96,2.20374779804484,68.6766635017014,22.6425655157484,0.0453473324002862,1.31095589131528,0.463978401196675
"17",0.01,10,500,1,0.4,1,1.66144167253198,59.493350176302,17.9136383188218,0.032049045679378,1.0113477344306,0.380343517763867
"18",0.01,10,700,1,0.4,1,1.29541722734453,43.6501815035548,13.520516499584,0.0337004803483575,0.879923120000673,0.413123949472462
"19",0.01,10,900,1,0.44,1,1.7158259647784,46.7254726972846,16.9186027552221,0.036889426593472,0.933357737988821,0.353209015673961
